Offset,K1,K2,K3,K4,K5,K6,K7
42643,0,1,1,0,0,0,0
42649,0,0,1,0,0,0,0
42651,0,0,1,1,0,0,0
42711,1,0,1,1,0,0,0
42724,1,0,0,1,0,0,0
42728,1,0,0,1,0,0,1
42731,1,0,0,0,0,0,1
42733,1,0,0,0,1,1,1
42790,1,0,0,0,1,0,1
42792,1,0,0,0,0,0,0
42816,1,1,1,0,0,0,0
42844,0,1,1,0,0,0,0
42873,0,0,1,0,0,0,0
42882,0,0,0,0,0,0,0
42895,0,0,0,1,0,0,1
42909,0,0,0,1,1,1,1
42958,0,0,0,1,0,0,1
42965,0,0,0,1,0,0,0
42970,0,0,0,0,0,0,0
42981,0,0,1,0,0,0,0
43055,0,0,0,0,0,0,0
43063,0,0,0,0,1,0,0
43146,0,0,1,0,1,0,0
43154,0,0,1,0,0,1,0
43216,0,0,1,0,0,0,0
43231,0,1,1,0,0,0,0
43254,0,1,0,0,0,0,0
43298,0,0,0,0,0,0,0
43311,0,0,0,0,0,1,0
43384,0,0,0,0,0,1,1
43399,0,1,0,0,0,1,1
43419,0,1,0,0,0,0,1
43455,0,1,0,0,0,0,0
43469,1,1,0,0,0,0,0
43494,1,0,0,0,0,0,0
43553,1,0,0,0,1,1,0
43560,1,0,1,0,1,1,1
43562,1,0,1,1,1,1,1
43574,0,0,1,1,1,1,1
44124,0,0,1,1,0,0,0
44126,0,0,0,1,0,0,0
44130,0,0,0,0,0,0,0
44222,0,0,0,0,0,0,1
44224,0,0,1,1,0,0,1
44229,0,0,1,1,1,1,1
44274,0,0,1,1,1,0,1
44283,0,0,1,1,0,0,1
44285,0,0,1,1,0,0,0
44289,0,0,1,0,0,0,0
44303,0,0,0,0,0,0,0
44312,1,0,0,0,0,0,0
44384,1,1,0,0,0,0,0
44386,1,1,0,1,0,0,0
44402,0,1,0,1,0,0,0
44456,0,0,0,1,0,0,0
44466,0,0,0,0,0,0,0
44473,0,0,0,0,1,0,0
44534,0,0,0,0,0,0,0
44556,0,0,1,0,0,0,0
44631,0,0,0,0,0,0,0
44639,0,0,0,0,0,1,0
44645,0,0,0,1,0,1,0
44716,0,0,0,0,0,1,0
44726,0,0,0,0,0,1,1
44760,0,0,0,0,0,0,1
44811,0,0,0,0,1,0,1
44833,0,0,0,0,1,0,0
44877,0,0,0,0,0,0,0
44890,0,0,1,0,0,0,0
44894,1,0,1,0,0,0,0
44945,0,0,1,0,0,0,0
44953,0,0,0,0,0,0,0
44974,0,0,0,1,0,0,0
